checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T16:51:55,5.39%,1080.32,2322856
monitoring,2025-05-09T16:52:11,348.18%,1288.19,2322856
monitoring,2025-05-09T16:52:28,594.06%,2736.13,2322856
monitoring,2025-05-09T16:52:44,0.55%,1079.3,2322856
monitoring,2025-05-09T16:53:01,314.87%,1396.74,2322856
monitoring,2025-05-09T16:53:18,2.28%,1079.3,2322856
monitoring,2025-05-09T16:53:34,211.59%,1155.07,2322856
monitoring,2025-05-09T16:53:51,37.56%,1086.46,2322856
monitoring,2025-05-09T16:54:07,594.15%,3142.66,2322856
monitoring,2025-05-09T16:54:24,170.77%,1335.3,2322856
monitoring,2025-05-09T16:54:40,284.67%,1236.99,2322856
monitoring,2025-05-09T16:54:57,0.44%,1080.32,2322856
monitoring,2025-05-09T16:55:13,19.49%,1080.32,2322856
monitoring,2025-05-09T16:55:30,710.19%,1544.19,2322856
monitoring,2025-05-09T16:55:47,0.55%,1079.3,2322856
monitoring,2025-05-09T16:56:03,797.97%,2591.74,2322856
monitoring,2025-05-09T16:56:20,15.08%,1079.3,2322856
monitoring,2025-05-09T16:56:36,0.49%,1079.3,2322856
monitoring,2025-05-09T16:56:53,2.32%,1080.32,2322856
monitoring,2025-05-09T16:57:09,444.58%,1355.78,2322856
monitoring,2025-05-09T16:57:26,778.30%,2294.78,2322856
